f1_small,f1_large,gap,cost,cached,doc_id,dataset,split,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio
1.0,1.0,0.0,0.014464000000000001,False,nf2829,poie,train,39,1,89.78,0.067,14.9,0,5475.8,0.2096,-1.0,87.8,False,0.0,0.12956810631229235,0.14600037689947598,0.058823529411764705,27.331189710610932,0.0,0.0,0.0,0.4358974358974359,2.1013513513513513
0.9473684210526316,1.0,0.05263157894736836,0.014176,False,nf1608,poie,train,38,1,58.69,0.438,23.9,0,841.5,0.1616,-10.0,51.4,False,0.0,0.14022140221402213,0.15996924757101902,0.0625,43.956043956043956,0.0,0.0,0.0,0.42105263157894735,1.8571428571428572
1.0,1.0,0.0,0.013847000000000002,False,nf2698,poie,train,35,1,87.26,0.105,20.1,0,3155.0,0.2361,-1.0,97.6,False,0.0,0.1388888888888889,0.1308652595491391,0.06666666666666667,21.676300578034684,0.0,0.0,0.0,0.42857142857142855,1.4268041237113402
0.9473684210526316,1.0,0.05263157894736836,0.013822000000000001,False,nf3053,poie,train,22,1,66.56,0.333,27.4,0,8804.2,0.2326,1.0,31.3,False,0.0,0.14379084967320263,1.5963367656722047,0.0,45.04504504504504,0.0,0.0,0.0,0.45454545454545453,1.0571428571428572
1.0,1.0,0.0,0.013667,False,nf0421,poie,train,38,1,72.19,0.256,27.7,0,7033.6,0.2481,1.0,60.0,False,0.0,0.14232209737827717,0.6191678650736304,0.05555555555555555,42.35294117647059,0.0,0.0,0.0,0.47368421052631576,1.5070921985815602
1.0,1.0,0.0,0.0137,False,nf0612,poie,train,35,1,56.0,0.526,29.6,0,7196.9,0.2316,1.0,21.6,False,0.0,0.1643192488262911,0.1691693652074553,0.8333333333333334,39.21568627450981,0.0,0.0,0.0,0.17142857142857143,0.38734177215189874
0.7368421052631577,1.0,0.26315789473684226,0.014255,False,nf0508,poie,train,34,1,25.2,0.8,35.6,0,3275.1,0.183,-10.0,40.8,False,0.0,0.12686567164179105,0.4365483767107123,0.0,51.90311418685121,0.0,0.0,0.0,0.4411764705882353,1.6900584795321638
1.0,1.0,0.0,0.013062,False,nf3249,poie,train,18,1,74.5,0.125,23.7,0,2789.1,0.232,-10.0,39.7,False,0.0,0.144,0.4088746751756583,0.0,32.02846975088968,0.0,0.0,0.0,0.5,1.2164502164502164
1.0,1.0,0.0,0.013427,False,nf2528,poie,train,22,1,37.94,0.787,25.5,0,199.3,0.1807,-1.0,244.0,False,0.0,0.12087912087912087,0.21423391574559775,0.0,6.362058993637941,0.0,0.0,0.0,0.5,1.0574923547400612
0.7777777777777778,0.7368421052631577,-0.04093567251462005,0.014214,False,nf2152,poie,train,34,1,90.32,0.0,8.5,0,4141.7,0.2342,-3.0,71.1,False,0.0,0.13333333333333333,0.45008961589995744,0.0625,31.746031746031747,0.0,0.0,0.0,0.47058823529411764,1.180327868852459
